,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
216,60,0,49,1,32,2,0,4.9,4,0,0.252571625,0.027067718,0.017187005,0.019096672,0.0,0.063019017,0.006683835,0.963427086,0.002864501,-1,2,0,0,0.020173915,0.046816923,4,0
217,48,0,51,0,23,4,1,6.38,1,0,0.377484709,0.040449304,0.016436756,0.018263062,0.0,0.060268105,0.006392072,0.921371481,0.002739459,-1,2,0,0,0.022861245,0.046225454,4,3
218,60,0,60,0,29,5,0,6.0,1,0,0.505317071,0.034844394,0.015309675,0.017010749,0.0,0.056135473,0.005953762,0.85819231,0.002551612,-1,2,0,0,0.024627398,0.051215964,4,2
219,36,0,26,2,21,1,0,4.33,1,0,0.06711894,0.008664854,0.017748534,0.019720593,0.0,0.065077957,0.006902208,0.994903925,0.002958089,-1,2,0,0,0.007101583,0.023243776,4,1
220,60,0,42,5,25,0,0,4.2,0,0,0.103298299,0.025379487,0.01768756,0.019652845,0.0,0.064854387,0.006878496,0.991486007,0.002947927,-1,2,0,0,0.006647712,0.025208507,4,0
221,36,0,33,0,8,1,0,5.5,0,0,0.120386436,0.002889671,0.017645646,0.019606273,0.0,0.0647007,0.006862195,0.989136462,0.002940941,-1,2,0,0,0.013027388,0.044725928,4,1
222,58,2,30,5,45,3,0,3.1,5,0,0.501084994,0.034552569,0.01433804,0.007590727,0.0,0.063256061,0.018555111,0.861969254,0.002530242,1,1,0,0,0.005277462,0.009267182,4,0
223,42,1,17,3,32,2,0,2.43,2,0,0.066248188,0.008552442,0.01654504,0.008759139,0.0,0.072992822,0.021411228,0.994648859,0.002919713,1,1,0,0,0.005595659,0.005915309,4,1
224,36,0,20,1,27,3,0,3.33,1,0,0.395673093,0.025462076,0.015218609,0.008056911,0.0,0.067140922,0.019694671,0.914906968,0.002685637,1,1,0,0,0.014529922,0.018140851,4,1
225,48,2,24,1,37,2,0,3.0,1,2,0.176127162,0.029740841,0.016312335,0.008635942,0.0,0.071966185,0.021110081,0.980659211,0.002878647,1,1,0,0,0.014243451,0.015020494,4,0
226,12,0,6,0,6,0,0,3.0,0,0,0.118936387,0.002854865,0.016464599,0.008716552,0.0,0.072637935,0.021307128,0.989812932,0.002905517,1,1,0,0,0.003796252,0.004020946,4,4
227,30,1,21,0,20,1,1,4.2,0,0,0.376577937,0.040352139,0.02186303,0.010020555,0.0,0.073787726,0.016397272,0.919158216,0.002732879,-1,1,1,1,0.035892627,0.064197235,4,1
228,30,0,39,0,15,6,1,7.8,1,0,0.27386072,0.019494265,0.022771124,0.010436765,0.0,0.076852544,0.017078343,0.957336012,0.002846391,-1,1,1,1,0.022066548,0.028417794,4,3
229,36,0,32,1,19,1,2,5.33,0,0,0.178111893,0.030075983,0.023288689,0.010673982,0.0,0.078599325,0.017466517,0.979095296,0.002911086,-1,1,1,1,0.022387223,0.033092257,4,1
230,49,0,44,2,29,4,2,5.39,0,0,0.10318632,0.025351975,0.023557848,0.010797347,0.0,0.079507738,0.017668386,0.990411201,0.002944731,-1,1,1,1,0.010111617,0.019477923,4,0
231,54,0,37,0,19,0,0,4.11,0,0,0.12001896,0.00288085,0.02345571,0.010750534,0.0,0.079163022,0.017591783,0.986117155,0.002931964,-1,1,1,1,0.04474812,0.062506927,4,0
